ranker,player,nationality,position,team,comp_level,age,birth_year,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,matches,player_id
141,Luca Philipp,de GER,GK,Hoffenheim,de Bundesliga,23,2000,6.0,15,1,0,2,1,12.3,0.34,-1.7,-0.28,30,97,30.9,157,22,51.0,38.7,36,47.2,40.6,84,3,3.6,4,0.67,12.8,Matches,2112
142,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,30,1994,38.0,44,0,1,6,0,48.8,0.30,+4.8,+0.13,304,806,37.7,1355,161,48.8,39.7,231,62.8,48.7,558,31,5.6,57,1.50,15.2,Matches,2120
143,Semuel Pizzignacco,it ITA,GK,Monza,it Serie A,22,2001,8.2,17,0,1,2,1,12.4,0.33,-3.6,-0.44,39,113,34.5,273,30,33.7,31.4,49,42.9,38.4,119,4,3.4,7,0.86,12.8,Matches,2132
144,Nick Pope,eng ENG,GK,Newcastle Utd,eng Premier League,32,1992,28.0,35,1,0,3,2,34.8,0.28,+1.8,+0.06,72,257,28.0,595,192,25.7,30.7,187,55.6,43.6,359,39,10.9,64,2.29,16.0,Matches,2140
145,Ivan Provedel,it ITA,GK,Lazio,it Serie A,30,1994,29.0,42,4,0,3,2,31.5,0.32,-8.5,-0.29,146,374,39.0,1009,96,30.8,33.3,106,59.4,46.1,366,29,7.9,32,1.10,14.5,Matches,2154
146,Ionuț Radu,ro ROU,GK,Venezia,it Serie A,27,1997,15.0,18,3,0,2,0,19.2,0.26,+1.2,+0.08,67,275,24.4,470,61,47.7,40.2,73,69.9,55.3,215,13,6.0,3,0.20,9.1,Matches,2164
147,Arnau Rafús,es ESP,GK,Valladolid,es La Liga,21,2003,1.0,2,0,1,0,0,0.5,0.23,-1.5,-1.53,7,15,46.7,38,5,34.2,34.9,5,40.0,39.0,14,1,7.1,1,1.00,11.4,Matches,2166
148,Aaron Ramsdale,eng ENG,GK,Southampton,eng Premier League,26,1998,30.0,66,5,0,10,0,63.5,0.32,-2.5,-0.08,196,605,32.4,1026,129,44.6,36.0,190,77.4,55.9,457,25,5.5,20,0.67,11.7,Matches,2174
149,Federico Ravaglia,it ITA,GK,Bologna,it Serie A,24,1999,11.7,14,1,0,2,0,11.7,0.46,-2.3,-0.20,48,138,34.8,426,45,27.5,30.8,47,44.7,40.4,97,11,11.3,9,0.77,12.9,Matches,2186
150,David Raya,es ESP,GK,Arsenal,eng Premier League,28,1995,38.0,34,3,2,8,0,35.1,0.28,+1.1,+0.03,149,478,31.2,1263,178,29.9,29.9,147,68.0,49.1,402,53,13.2,66,1.74,17.2,Matches,2188
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,26
151,Pepe Reina,es ESP,GK,Como,it Serie A,41,1982,11.5,14,1,0,4,0,12.1,0.28,-1.9,-0.16,43,115,37.4,330,41,32.4,31.9,34,23.5,28.4,148,2,1.4,6,0.52,12.5,Matches,2195
152,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,29,1995,36.0,43,5,0,5,0,38.0,0.26,-5.0,-0.14,180,477,37.7,1053,111,31.4,32.6,234,62.4,48.9,446,29,6.5,40,1.11,14.4,Matches,2199
153,Guillaume Restes,fr FRA,GK,Toulouse,fr Ligue 1,19,2005,28.3,36,1,1,3,3,27.9,0.29,-5.1,-0.18,80,286,28.0,675,83,30.8,30.3,135,57.8,42.8,360,5,1.4,34,1.20,16.9,Matches,2202
154,Lasse Rieß,de GER,GK,Mainz 05,de Bundesliga,23,2001,2.0,2,0,0,0,0,2.2,0.27,+0.2,+0.09,13,43,30.2,72,7,51.4,41.6,12,50.0,45.6,23,2,8.7,8,4.00,18.0,Matches,2215
155,Adrian Rodriguez,es ESP,GK,Alavés,es La Liga,23,2000,1.4,2,1,0,0,0,1.5,0.13,-0.5,-0.36,18,48,37.5,26,0,92.3,56.3,24,100.0,67.4,33,0,0.0,0,0.00,9.8,Matches,2230
156,Leo Román,es ESP,GK,Mallorca,es La Liga,24,2000,7.0,10,1,0,1,0,13.5,0.26,+3.5,+0.50,48,139,34.5,188,18,53.2,41.8,52,75.0,57.5,127,8,6.3,6,0.86,11.2,Matches,2250
157,Gerónimo Rulli,ar ARG,GK,Marseille,fr Ligue 1,32,1992,34.0,47,3,1,4,2,47.5,0.33,+2.5,+0.07,92,202,45.5,1097,133,15.0,24.4,105,35.2,32.7,309,28,9.1,59,1.74,18.3,Matches,2278
158,Mathew Ryan,au AUS,GK,Lens,fr Ligue 1,32,1992,14.0,17,2,0,0,0,19.5,0.28,+2.5,+0.18,46,135,34.1,342,79,31.3,32.3,66,42.4,35.3,176,20,11.4,10,0.71,11.6,Matches,2280
159,Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,31,1992,28.0,37,1,1,1,1,39.3,0.32,+3.3,+0.12,143,395,36.2,734,135,36.6,34.3,161,78.3,54.3,483,40,8.3,35,1.25,13.4,Matches,2282
160,José Sá,pt POR,GK,Wolves,eng Premier League,31,1993,29.0,48,5,1,6,2,42.8,0.33,-3.2,-0.11,94,382,24.6,771,121,39.3,35.2,150,52.7,41.5,432,32,7.4,43,1.48,15.5,Matches,2283
161,Matvei Safonov,ru RUS,GK,Paris S-G,fr Ligue 1,25,1999,9.8,9,2,0,2,1,7.2,0.26,-0.8,-0.08,36,83,43.4,262,46,26.3,29.1,48,29.2,28.8,94,5,5.3,14,1.43,18.0,Matches,2295
162,Brice Samba,fr FRA,GK,Rennes,fr Ligue 1,30,1994,17.0,27,1,1,4,0,29.2,0.32,+2.2,+0.13,58,178,32.6,569,64,24.4,29.7,102,38.2,33.3,225,16,7.1,15,0.88,13.2,Matches,2320
163,Brice Samba,fr FRA,GK,Lens,fr Ligue 1,30,1994,15.0,14,4,2,3,0,17.5,0.26,+3.5,+0.23,82,163,50.3,435,61,29.7,30.5,76,44.7,36.1,152,17,11.2,22,1.47,16.1,Matches,2321
164,Robert Sánchez,es ESP,GK,Chelsea,eng Premier League,26,1997,32.0,34,4,0,4,0,35.7,0.25,+1.7,+0.05,98,424,23.1,1160,190,33.3,33.4,82,46.3,40.3,370,47,12.7,57,1.78,14.5,Matches,2333
165,Kauã Santos,br BRA,GK,Eint Frankfurt,de Bundesliga,21,2003,8.5,12,1,0,4,1,14.3,0.30,+3.3,+0.39,40,116,34.5,248,34,37.1,33.2,44,54.5,42.9,137,16,11.7,18,2.12,14.0,Matches,2349
166,Razvan Sava,ro ROU,GK,Udinese,it Serie A,22,2002,12.0,16,3,1,4,2,14.5,0.24,+0.5,+0.04,44,148,29.7,337,26,33.2,32.2,55,65.5,47.5,202,4,2.0,13,1.08,14.8,Matches,2358
167,Alexander Schwolow,de GER,GK,Union Berlin,de Bundesliga,32,1992,6.0,13,1,0,0,0,9.7,0.32,-3.3,-0.55,28,73,38.4,166,26,31.3,31.0,40,52.5,42.6,85,0,0.0,4,0.67,14.2,Matches,2382
168,Simone Scuffet,it ITA,GK,Cagliari,it Serie A,28,1996,13.0,23,5,0,6,0,20.4,0.28,-2.6,-0.20,71,181,39.2,305,50,42.0,35.5,99,53.5,42.3,189,6,3.2,7,0.54,11.8,Matches,2385
169,Simone Scuffet,it ITA,GK,Napoli,it Serie A,28,1996,1.0,1,0,0,0,0,1.6,0.40,+0.6,+0.60,3,12,25.0,35,5,25.7,29.3,9,33.3,32.7,29,1,3.4,0,0.00,7.0,Matches,2386
170,Jacopo Seghetti,it ITA,GK,Empoli,it Serie A,19,2005,1.0,3,0,0,0,0,1.9,0.31,-1.1,-1.12,3,9,33.3,16,5,37.5,33.8,5,60.0,39.0,4,0,0.0,1,1.00,26.0,Matches,2389
171,Matz Sels,be BEL,GK,Nott'ham Forest,eng Premier League,32,1992,38.0,46,3,1,5,0,49.1,0.29,+3.1,+0.08,244,698,35.0,715,83,68.4,44.7,270,77.4,54.3,710,19,2.7,12,0.32,8.7,Matches,2393
172,Alen Sherri,al ALB,GK,Cagliari,it Serie A,26,1997,6.9,11,0,0,0,0,10.9,0.35,-0.1,-0.02,29,84,34.5,168,22,35.7,32.2,57,42.1,37.0,85,4,4.7,5,0.72,11.1,Matches,2406
173,Benjamin Siegrist,ch SUI,GK,Genoa,it Serie A,32,1992,1.7,2,0,0,0,0,2.4,0.20,+0.4,+0.23,6,30,20.0,54,9,33.3,35.9,19,63.2,46.7,26,1,3.8,1,0.59,6.2,Matches,2410
174,Rui Silva,pt POR,GK,Betis,es La Liga,30,1994,15.0,18,3,0,3,1,18.4,0.30,+1.4,+0.10,45,144,31.3,446,70,26.0,30.8,76,36.8,35.9,194,10,5.2,31,2.07,18.9,Matches,2422
175,Marco Silvestri,it ITA,GK,Empoli,it Serie A,33,1991,5.0,11,0,0,3,1,8.0,0.32,-2.0,-0.41,35,85,41.2,135,16,60.7,41.8,13,23.1,25.2,62,1,1.6,4,0.80,12.6,Matches,2423
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,26
176,Unai Simón,es ESP,GK,Athletic Club,es La Liga,27,1997,21.0,14,1,0,2,0,16.3,0.24,+2.3,+0.11,106,284,37.3,533,91,36.2,34.4,117,77.8,58.3,249,19,7.6,28,1.33,15.5,Matches,2429
177,Tobias Sippel,de GER,GK,Gladbach,de Bundesliga,36,1988,0.7,3,0,0,1,0,1.2,0.30,-1.8,-2.72,9,22,40.9,22,2,45.5,39.2,12,100.0,69.2,13,0,0.0,0,0.00,2.0,Matches,2437
178,Antonio Sivera,es ESP,GK,Alavés,es La Liga,27,1996,31.2,39,9,2,2,2,39.0,0.28,+2.0,+0.06,297,724,41.0,735,70,71.8,47.7,229,85.6,60.0,453,30,6.6,29,0.93,12.7,Matches,2443
179,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,33,1991,26.3,33,1,0,1,2,28.7,0.34,-2.3,-0.09,123,329,37.4,1005,113,27.9,31.6,95,51.6,44.7,215,18,8.4,23,0.88,13.0,Matches,2449
180,Daniele Sommariva,it ITA,GK,Genoa,it Serie A,27,1997,0.3,1,0,0,0,0,0.9,0.30,-0.1,-0.36,1,10,10.0,9,0,66.7,42.3,6,66.7,47.5,19,0,0.0,0,0.00,3.3,Matches,2471
181,Yann Sommer,ch SUI,GK,Inter,it Serie A,35,1988,33.0,32,3,0,3,1,31.7,0.24,+0.7,+0.02,91,226,40.3,1199,136,16.9,26.6,126,18.3,27.5,356,14,3.9,14,0.42,13.2,Matches,2472
182,David Soria,es ESP,GK,Getafe,es La Liga,31,1993,38.0,39,8,0,5,0,42.0,0.29,+3.0,+0.08,300,799,37.5,719,68,72.6,48.8,304,91.1,61.5,479,25,5.2,39,1.03,14.7,Matches,2473
183,Juan Soriano,es ESP,GK,Leganés,es La Liga,26,1997,6.0,7,0,0,1,1,8.8,0.36,+2.8,+0.47,36,120,30.0,131,20,56.5,43.9,54,85.2,62.8,130,7,5.4,0,0.00,8.4,Matches,2474
184,Marco Sportiello,it ITA,GK,Milan,it Serie A,32,1992,1.4,2,0,0,0,0,2.2,0.36,+0.2,+0.12,5,13,38.5,46,8,21.7,27.8,14,21.4,30.6,15,1,6.7,3,2.14,25.5,Matches,2490
185,Filip Stankovic,rs SRB,GK,Venezia,it Serie A,22,2002,15.2,23,4,0,3,1,25.2,0.26,+3.2,+0.21,48,161,29.8,439,51,29.4,31.6,73,43.8,34.3,249,12,4.8,13,0.86,10.8,Matches,2494
186,Jason Steele,eng ENG,GK,Brighton,eng Premier League,33,1990,2.0,1,0,0,0,0,0.5,0.12,-0.5,-0.26,7,16,43.8,110,7,13.6,25.1,2,50.0,43.0,22,2,9.1,3,1.50,15.4,Matches,2499
187,Jakub Stolarczyk,pl POL,GK,Leicester City,eng Premier League,23,2000,10.0,16,0,0,2,0,15.4,0.35,-0.6,-0.06,57,195,29.2,328,36,46.3,34.2,58,74.1,50.2,169,10,5.9,8,0.80,12.5,Matches,2512
188,Zion Suzuki,jp JPN,GK,Parma,it Serie A,21,2002,36.8,53,5,3,5,2,51.4,0.32,+0.4,+0.01,204,669,30.5,1272,184,41.4,37.5,223,63.7,52.4,614,64,10.4,38,1.03,12.1,Matches,2528
189,Mile Svilar,rs SRB,GK,Roma,it Serie A,24,1999,38.0,35,4,0,4,1,42.5,0.26,+8.5,+0.22,124,413,30.0,1258,170,23.8,30.6,200,56.5,45.5,495,30,6.1,33,0.87,13.7,Matches,2532
190,Wojciech Szczęsny,pl POL,GK,Barcelona,es La Liga,34,1990,15.0,12,1,0,1,0,12.0,0.35,0.0,0.00,24,63,38.1,398,61,12.3,25.1,54,25.9,31.0,130,7,5.4,56,3.73,20.2,Matches,2538
191,Arnau Tenas,es ESP,GK,Paris S-G,fr Ligue 1,23,2001,1.0,1,0,0,0,0,1.5,0.37,+0.5,+0.46,3,4,75.0,30,4,13.3,25.4,2,0.0,21.5,5,1,20.0,1,1.00,15.6,Matches,2571
192,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,32,1992,7.5,9,1,0,1,0,6.4,0.26,-2.6,-0.34,15,31,48.4,224,40,12.1,26.5,27,14.8,32.0,83,5,6.0,13,1.74,17.0,Matches,2573
193,Pietro Terracciano,it ITA,GK,Fiorentina,it Serie A,34,1990,3.0,3,0,0,0,0,3.1,0.24,+0.1,+0.03,8,25,32.0,78,14,28.2,28.8,11,27.3,26.5,20,1,5.0,3,1.00,17.0,Matches,2575
194,Kevin Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,34,1990,25.5,34,0,0,6,1,34.9,0.30,+1.9,+0.08,89,312,28.5,813,123,31.7,29.9,130,41.5,36.9,394,24,6.1,28,1.10,13.6,Matches,2629
195,Mark Travers,ie IRL,GK,Bournemouth,eng Premier League,25,1999,5.0,5,0,1,1,0,9.5,0.38,+4.5,+0.89,33,73,45.2,103,29,41.7,36.3,39,76.9,55.8,63,1,1.6,5,1.00,12.9,Matches,2630
196,Stefano Turati,it ITA,GK,Monza,it Serie A,22,2001,29.7,52,2,1,8,2,47.4,0.31,-2.6,-0.09,177,442,40.0,942,126,38.3,33.7,131,61.8,46.9,414,22,5.3,26,0.87,13.3,Matches,2641
197,Sven Ulreich,de GER,GK,Bayern Munich,de Bundesliga,35,1988,1.0,0,0,0,0,0,0.0,,0.0,0.00,3,8,37.5,29,4,27.6,28.2,1,0.0,9.0,7,1,14.3,1,1.00,12.3,Matches,2649
198,Jonas Urbig,de GER,GK,Bayern Munich,de Bundesliga,20,2003,8.0,12,0,0,2,0,10.3,0.38,-1.7,-0.21,30,79,38.0,263,33,26.2,30.9,23,43.5,43.1,81,5,6.2,21,2.63,17.4,Matches,2656
199,Hákon Valdimarsson,is ISL,GK,Brentford,eng Premier League,22,2001,1.6,2,0,0,0,1,0.6,0.14,-0.4,-0.26,15,38,39.5,54,7,42.6,34.9,16,93.8,59.3,16,2,12.5,0,0.00,4.7,Matches,2659
200,Maarten Vandevoordt,be BEL,GK,RB Leipzig,de Bundesliga,22,2002,4.8,9,0,0,4,0,7.3,0.36,-1.7,-0.35,19,52,36.5,139,27,23.0,29.4,35,57.1,46.0,78,7,9.0,11,2.31,16.1,Matches,2675
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,26
201,Nikola Vasilj,ba BIH,GK,St. Pauli,de Bundesliga,28,1995,33.0,39,1,0,5,1,47.4,0.32,+9.4,+0.29,164,493,33.3,1267,107,34.2,32.7,134,44.8,38.0,411,24,5.8,27,0.82,12.8,Matches,2679
202,Devis Vásquez,co COL,GK,Empoli,it Serie A,26,1998,32.0,45,1,0,4,0,40.2,0.31,-4.8,-0.15,161,560,28.8,953,104,48.5,39.0,150,65.3,52.0,490,36,7.3,15,0.47,10.9,Matches,2680
203,Bart Verbruggen,nl NED,GK,Brighton,eng Premier League,21,2002,36.0,58,9,1,4,2,51.0,0.31,-5.0,-0.14,122,386,31.6,1226,122,26.9,29.7,83,67.5,48.5,414,27,6.5,47,1.31,13.9,Matches,2697
204,Guglielmo Vicario,it ITA,GK,Tottenham,eng Premier League,27,1996,24.0,37,1,0,6,2,37.4,0.36,+2.4,+0.10,28,95,29.5,809,120,10.5,22.8,65,15.4,22.8,312,30,9.6,31,1.29,13.3,Matches,2705
205,Fran Vieites,es ESP,GK,Betis,es La Liga,25,1999,4.0,5,0,0,0,0,4.7,0.42,-0.3,-0.09,12,54,22.2,90,16,40.0,38.0,29,62.1,46.4,65,6,9.2,4,1.00,12.8,Matches,2711
206,Iván Villar,es ESP,GK,Celta Vigo,es La Liga,27,1997,4.0,9,0,0,3,2,8.2,0.40,+1.2,+0.30,3,22,13.6,82,15,14.6,24.0,35,28.6,26.9,65,1,1.5,5,1.25,14.8,Matches,2715
207,Christian Walton,eng ENG,GK,Ipswich Town,eng Premier League,28,1995,7.0,19,2,0,0,0,17.1,0.40,-1.9,-0.28,42,116,36.2,204,35,42.6,34.3,51,56.9,44.5,111,12,10.8,2,0.29,8.2,Matches,2742
208,Danny Ward,wls WAL,GK,Leicester City,eng Premier League,31,1993,1.5,6,0,0,0,0,2.8,0.28,-3.2,-2.11,10,22,45.5,46,9,37.0,32.0,7,71.4,52.0,11,0,0.0,2,1.33,20.7,Matches,2747
209,Timon Weiner,de GER,GK,Holstein Kiel,de Bundesliga,25,1999,25.0,61,4,2,5,2,47.2,0.32,-11.8,-0.47,167,444,37.6,789,116,40.2,34.5,198,64.1,48.4,491,27,5.5,18,0.72,11.1,Matches,2756
210,Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,29,1994,32.0,41,4,2,9,0,45.0,0.29,+4.0,+0.12,175,567,30.9,977,132,46.2,38.7,179,64.8,52.1,524,45,8.6,58,1.81,14.0,Matches,2830
211,Michael Zetterer,de GER,GK,Werder Bremen,de Bundesliga,29,1995,34.0,57,3,2,4,3,52.9,0.33,-1.1,-0.03,134,370,36.2,1204,188,27.7,31.9,107,33.6,36.8,464,35,7.5,34,1.00,13.5,Matches,2837
212,Melvin Zinga,fr FRA,GK,Angers,fr Ligue 1,22,2002,1.0,2,1,0,0,0,2.4,0.41,+0.4,+0.40,2,11,18.2,22,4,40.9,39.0,11,18.2,25.6,20,1,5.0,2,2.00,16.8,Matches,2842
